data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,event_code,subevent_code
4970001,566,NIG2208,2208,29 December 2008,2008,within week,Violence against civilians,Attack,PDP: Peoples Democratic Party,ANPP: All Nigeria Peoples Party,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Benue,Gwer East,,Aliade,7.2964001,8.4870005,high,All Africa,Regional,Voters killed during election process.,0,1552577628,NGA,Violence against civilians,Attack
4970023,566,NIG2207,2207,27 December 2008,2008,exact date,Battles,Armed clash,Jukun Ethnic Militia (Nigeria),,identity militias,Kutep Communal Militia (Nigeria),,identity militias,communal militia vs communal militia,Western Africa,Nigeria,Taraba,Takum,,Takum,7.2666998,9.9833002,high,All Africa,Regional,Ethnic clashes between Jukuns and Kutep in Takum during cultural festival,0,1552577628,NGA,Battles,Armed clash
4970057,566,NIG2206,2206,25 December 2008,2008,exact date,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,military vs rebels,Western Africa,Nigeria,Bayelsa,Southern Ijaw,,Tebidaba,4.5780001,5.9707999,high,All Africa,Regional,The JTF engages a group of MEND militants in Tebidaba to rid them from an oil flow station.,0,1552577628,NGA,Battles,Armed clash
4970085,566,NIG2204,2204,22 December 2008,2008,exact date,Battles,Armed clash,Unidentified Communal Militia (Nigeria),Farmers (Nigeria),identity militias,Unidentified Communal Militia (Nigeria),Pastoralists (Nigeria),identity militias,communal militia vs communal militia,Western Africa,Nigeria,Jigawa,Birni Kudu,,Birnin Kudu,11.4459,9.4983997,high,All Africa,Regional,At least two are killed as farmers and herdsmen clash in Jigawa State.,2,1552577628,NGA,Battles,Armed clash
4970094,566,NIG2203,2203,21 December 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Ogun,Abeokuta South,,Abeokuta,7.1500001,3.3499999,high,All Africa,Regional,Gunmen invade the home of Chief Alaba Lawson,0,1552577628,NGA,Violence against civilians,Attack
4970100,566,NIG2202,2202,20 December 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (International),,civilians,political militia vs civilians,Western Africa,Nigeria,Akwa Ibom,Uyo,,Uyo,5.0332999,7.9266,medium,Associated Press Newswires,International,A Filipino is killed and two Russians are kidnapped in Akwa Ibom State.,1,1552577628,NGA,Violence against civilians,Attack
4970115,566,NIG2201,2201,19 December 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Ondo,Akure South,,Akure,7.2526002,5.1931,high,Vanguard (Nigeria),National,Police in Akure kill nine armed robbers attempting to rob a bank.,9,1552577628,NGA,Battles,Armed clash
4970151,566,NIG2200,2200,16 December 2008,2008,exact date,Violence against civilians,Attack,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Bayelsa,Yenegoa,,Zarama,5.0833001,6.4000001,high,Vanguard (Nigeria),National,The JTF kills a man unintentionally while trying to break up a clash between Akumoni and Ayamabele community that were fighting over a passage way for an oil company.,0,1552577628,NGA,Violence against civilians,Attack
4970172,566,NIG2198,2198,14 December 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Anambra,Awka South,,Awka,6.2101002,7.0741,high,Vanguard (Nigeria),National,Six students of Nnamdi Azikiwe University and a member of the National Youth Service Corps (NYSC) were found dead due the clash of cult groups in Awka,7,1552577628,NGA,Violence against civilians,Attack
4970173,566,NIG2199,2199,14 December 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,Vanguard (Nigeria),National,Chief Wale Adegboye,0,1552577628,NGA,Violence against civilians,Attack
4970268,566,NIG2197,2197,06 December 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (International),,civilians,political militia vs civilians,Western Africa,Nigeria,Akwa Ibom,Ikot Abasi,,Opobo,4.5647998,7.5478001,high,All Africa,Regional,Militants attack and kill oil tycoons father,1,1552577629,NGA,Violence against civilians,Attack
4970292,566,NIG2195,2195,05 December 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Bayelsa,Yenegoa,,Yenagoa,4.9246998,6.2642002,low,Dow Jones International News,International,Unknown assailants kill two police in Bayelsa State,2,1552577629,NGA,Battles,Armed clash
4970270,566,NIG2196,2196,05 December 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Unidentified Armed Group (Nigeria),,political militias,political militia vs political militia,Western Africa,Nigeria,Delta,Ughelli North,,Ughelli,5.4899001,6.0074,high,Vanguard (Nigeria),National,Members of two political parties clash,0,1552577629,NGA,Battles,Armed clash
4970307,566,NIG2194,2194,04 December 2008,2008,within week,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,high,Vanguard (Nigeria),National,"A policeman nabs members of a street gang in Lagos killing one.""",1,1552577629,NGA,Battles,Armed clash
4970317,566,NIG2193,2193,02 December 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Kogi,Lokoja,,Lokoja,7.8024001,6.743,low,Vanguard (Nigeria),National,Lecturer is shot and killed in Kogi State by unknown gunmen.,1,1552577629,NGA,Violence against civilians,Attack
