state,lga,year,total_events,violent_events,boko_haram_events,total_fatalities,violent_fatalities,boko_haram_fatalities,battles,explosions,violence_civilians,latitude,longitude,any_conflict,any_violent_conflict,any_boko_haram,conflict_intensity,high_conflict,cum_violent_events,cum_fatalities,cum_boko_haram_events,first_violent_year,years_since_first_conflict,ever_exposed
Abia,Aba South,1998,1,0,0,5,0,0,0,0,0,5.1065998,7.3667002,1,0,0,No Conflict,0,0,5,0,,,0
Abia,Aba South,2000,4,3,0,502,452,0,3,0,0,5.1065998,7.3667002,1,1,0,Low,0,3,507,0,2000.0,0.0,1
Abia,Aba South,2002,1,0,0,0,0,0,0,0,0,5.1065998,7.3667002,1,0,0,No Conflict,0,3,507,0,,,1
Abia,Aba South,2005,2,1,0,0,0,0,0,0,1,5.1065998,7.3667002,1,1,0,Low,0,4,507,0,2000.0,5.0,1
Abia,Aba South,2008,1,1,0,3,3,0,1,0,0,5.1065998,7.3667002,1,1,0,Low,0,5,510,0,2000.0,8.0,1
Abia,Aba South,2009,3,2,0,10,10,0,2,0,0,5.1065998,7.3667002,1,1,0,Low,0,7,520,0,2000.0,9.0,1
Abia,Aba South,2010,6,6,0,5,5,0,2,0,4,5.1065998,7.3667002,1,1,0,High,1,13,525,0,2000.0,10.0,1
Abia,Aba South,2013,2,1,0,2,2,0,1,0,0,5.1065998,7.3667002,1,1,0,Low,0,14,527,0,2000.0,13.0,1
Abia,Aba South,2014,2,1,0,0,0,0,0,0,1,5.1065998,7.3667002,1,1,0,Low,0,15,527,0,2000.0,14.0,1
Abia,Aba South,2015,10,1,0,1,0,0,0,0,1,5.1065998,7.3667002,1,1,0,Low,0,16,528,0,2000.0,15.0,1
Abia,Aba South,2016,18,2,0,19,5,0,1,0,1,5.1065998,7.3667002,1,1,0,Low,0,18,547,0,2000.0,16.0,1
Abia,Aba South,2017,8,5,0,62,62,0,0,0,5,5.1065998,7.3667002,1,1,0,High,1,23,609,0,2000.0,17.0,1
Abia,Aba South,2018,9,2,0,1,0,0,0,1,1,5.1065998,7.3667002,1,1,0,Low,0,25,610,0,2000.0,18.0,1
Abia,Aba South,2019,3,3,0,0,0,0,0,0,3,5.1065998,7.3667002,1,1,0,Low,0,28,610,0,2000.0,19.0,1
Abia,Arochukwu,2009,1,1,0,1,1,0,0,0,1,5.3898001,7.914,1,1,0,Low,0,1,1,0,2009.0,0.0,1
Abia,Arochukwu,2010,1,1,0,0,0,0,0,0,1,5.5342002,7.8892999,1,1,0,Low,0,2,1,0,2009.0,1.0,1
